Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label,attack_type
88,640,7,4,440,358,220,0,62.85714286,107.349008,179,0,89.5,103.3456982,1246875.0,17187.5,64.0,135.557286,445,1,640,106.6666667,194.3251571,497,1,538,179.3333333,303.6862416,530,4,0,0,0,0,164,104,10937.5,6250.0,0,220,66.5,99.00183653,9801.363636,0,0,0,1,0,0,0,0,0,72.54545455,62.85714286,89.5,164,0,0,0,0,0,0,7,440,4,358,8192,2053,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BruteForce
88,900,9,4,600,2944,300,0,66.66666667,132.2875656,1472,0,736.0,849.8595962,3937777.778,14444.44444,75.0,192.7952282,684,1,900,112.5,252.4112291,734,1,766,255.3333333,435.3232515,758,3,0,0,0,0,204,104,10000.0,4444.444444,0,1472,253.1428571,527.4342623,278186.9011,0,0,0,1,0,0,0,0,0,272.6153846,66.66666667,736.0,204,0,0,0,0,0,0,9,600,4,2944,8192,2053,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BruteForce
88,1205,7,4,2776,2830,1388,0,396.5714286,677.2746506,1415,0,707.5,816.9506309,4652282.158,9128.630705,120.5,236.4333357,777,1,1205,200.8333333,397.058392,1008,1,927,309.0,491.6472313,876,1,0,0,0,0,164,104,5809.128631,3319.502075,0,1415,467.1666667,690.0989169,476236.5152,0,0,0,1,0,0,0,0,0,509.6363636,396.5714286,707.5,164,0,0,0,0,0,0,7,2776,4,2830,8192,2053,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BruteForce
88,511,7,4,452,370,226,0,64.57142857,110.2767082,185,0,92.5,106.8097998,1608610.568,21526.41879,51.1,90.76765209,299,1,511,85.16666667,131.9005939,349,1,462,154.0,224.7198256,412,1,0,0,0,0,164,104,13698.63014,7827.78865,0,226,68.5,101.9335791,10390.45455,0,0,0,1,0,0,0,0,0,74.72727273,64.57142857,92.5,164,0,0,0,0,0,0,7,452,4,370,8192,2053,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BruteForce
88,773,9,4,612,2944,306,0,68.0,134.9333169,1472,0,736.0,849.8595962,4600258.732,16817.59379,64.41666667,148.6982658,531,1,773,96.625,196.6657335,580,1,675,225.0,348.9011321,627,1,0,0,0,0,204,104,11642.94955,5174.644243,0,1472,254.0,527.5207615,278278.1538,0,0,0,1,0,0,0,0,0,273.5384615,68.0,736.0,204,0,0,0,0,0,0,9,612,4,2944,8192,2053,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BruteForce
88,986,9,6,3100,3030,1550,0,344.4444444,683.4857554,1515,0,505.0,782.3426359,6217038.54,15212.98174,70.42857143,182.1084691,696,1,986,123.25,268.4142587,785,1,889,177.8,300.8308495,697,1,0,0,0,0,204,144,9127.789047,6085.192698,0,1550,383.125,685.4144124,469792.9167,0,0,0,1,0,0,0,0,0,408.6666667,344.4444444,505.0,204,0,0,0,0,0,0,9,3100,6,3030,8192,2053,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BruteForce
88,935,9,6,3074,3010,1537,0,341.5555556,677.7532942,1505,0,501.6666667,777.1786581,6506951.872,16042.78075,66.78571429,187.3619199,714,1,935,116.875,281.5312403,811,1,859,171.8,308.5226086,714,2,0,0,0,0,204,144,9625.668449,6417.112299,0,1537,380.25,680.2620573,462756.4667,0,0,0,1,0,0,0,0,0,405.6,341.5555556,501.6666667,204,0,0,0,0,0,0,9,3074,6,3010,8192,2053,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BruteForce
389,572849,15,12,4076,1020,1646,0,271.7333333,562.9358586,210,0,85.0,91.22200691,8895.887049,47.13283954,22032.65385,101642.2098,517763,2,572849,40917.78571,137973.1114,517763,2,572795,52072.27273,172091.1181,570946,3,0,0,0,0,324,264,26.18491086,20.94792869,0,1646,182.0,421.4131429,177589.037,0,0,0,1,0,0,0,0,0,188.7407407,271.7333333,85.0,324,0,0,0,0,0,0,15,4076,12,1020,8192,0,8,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BruteForce
49193,1,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3000000.0,0.5,0.707106781,1,0,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,20,2000000.0,1000000.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,1,0,0,254,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BruteForce
88,1075,9,9,3100,3030,1550,0,344.4444444,683.4857554,1515,0,336.6666667,668.052206,5702325.581,16744.18605,63.23529412,167.8878083,709,1,1075,134.375,255.3266465,762,1,1009,126.125,243.2573226,709,1,0,0,0,0,204,204,8372.093023,8372.093023,0,1550,322.6315789,641.9466238,412095.4678,0,0,0,1,0,0,0,0,1,340.5555556,344.4444444,336.6666667,204,0,0,0,0,0,0,9,3100,9,3030,8192,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BruteForce
